Pessoa;P1;P2;P3;P4;P5;P6;P7;P8;P9;Sexo;Idade;Região;Classe Social
70;Justo;Justo;Compartilhar link de oferta;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se possui filhos menores de 12 anos";De 5 a 11;Até R$ 1.448;Me sinto um pouco confortável;Vendas via rede social (compartilhando links de ofertas);Feminino;33;Sudeste;E
71;Justo;Justo;Responder perguntas sobre os meus contatos;7.0;"Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se o celular é pós pago ou pré pago ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se gosta de ir em shows";De 41 a 50;Não possuo;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;18;Sudeste;C
72;Baixo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);5.0;"Características do veículo (marca, ano e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Até R$ 724;Me sinto um pouco desconfortável;"Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras";Feminino;24;Sudeste;D
73;Justo;Baixo;Vender presencialmente;5;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 21 a 30;Até R$ 724;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;34;Sudeste;E
74;Baixo;Justo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Sobre a profissão que exerce ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 1.448;Não sei se sinto confortável ou desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;46;Sul;C
75;Baixo;Baixo;Adicionar contatos;5;"Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui casa própria ou se é alugada ; Se o celular é pós pago ou pré pago";De 11 a 20;Não possuo;Não sei se sinto confortável ou desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;29;Nordeste;E
76;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;7;"Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui casa própria ou se é alugada ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Até R$ 1.448;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras";Feminino;26;Sudeste;E
77;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);9;"Informações sociais como sexo, idade, estado civil por exemplo ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular";De 11 a 20;Até R$ 2.172;Me sinto extremamente confortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;32;Sudeste;B
78;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 21 a 30;Até R$ 1.448;Me sinto extremamente desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;32;Nordeste;D
79;Baixo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);5;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 724;Me sinto um pouco desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;22;Centro-Oeste;D
80;Justo;Justo;Compartilhar link de oferta;9;"Se os filhos estudam em colégio particular ; Se gosta de ir em shows ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se faz academia ou pratica esportes de modo geral ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Se possui filhos menores de 18 anos ; Sobre a profissão que exerce ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Informações sociais como sexo, idade, estado civil por exemplo ; Se gosta de viajar e com que frequência ; Se possui filhos menores de 12 anos ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se possui smartphone?  ; Se possui casa própria ou se é alugada";De 11 a 20;Não possuo;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;18;Nordeste;D
81;Baixo;Justo;O aplicativo enviar ofertas aos meus contatos;7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 2.172;Não sei se sinto confortável ou desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;32;Sudeste;C
82;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);10 (Instalaria com certeza);Se possui animais de estimação;De 41 a 50;Até R$ 2.172;Não sei se sinto confortável ou desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;27;Sul;C
83;Justo;Alto;Compartilhar link de oferta;4;"Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo";De 11 a 20;Até R$ 1.448;Me sinto extremamente desconfortável;Vendas presenciais;Feminino;18;Sul;D
84;Justo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);8;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Até R$ 1.448;Não sei se sinto confortável ou desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;20;Centro-Oeste;D
85;Justo;Baixo;Compartilhar link de oferta;4.0;"Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc)";De 5 a 11;Não possuo;Me sinto um pouco desconfortável;"Vendas presenciais ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;30;Sudeste;C
86;Justo;Baixo;Vender presencialmente;8;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Não possuo;Me sinto um pouco confortável;Vendas via rede social (compartilhando links de ofertas);Feminino;41;Nordeste;D
87;Baixo;Baixo;O aplicativo enviar ofertas aos meus contatos;6;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;48;Norte;C
88;Justo;Baixo;Vender presencialmente;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";Menos de 5;Não possuo;Me sinto um pouco confortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;31;Nordeste;D
89;Baixo;Baixo;Adicionar contatos;10 (Instalaria com certeza);Se gosta de ir em shows;De 11 a 20;Não possuo;Me sinto um pouco confortável;Vendas presenciais;Feminino;61;Sudeste;B
90;Baixo;Justo;Adicionar contatos;7;"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";Menos de 5;Até R$ 7.240;Me sinto um pouco desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;45;Nordeste;A
91;Baixo;Baixo;Adicionar contatos;4;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Se possui animais de estimação ; Se possui smartphone? ";De 11 a 20;Outros: 400.00;Não sei se sinto confortável ou desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;41;Nordeste;E
92;Baixo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);10 (Instalaria com certeza);"Se possui animais de estimação ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui casa própria ou se é alugada ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 1.448;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;30;Sul;C
93;Baixo;Baixo;Adicionar contatos;6;Aniversário e outras datas festivas (Casamento por exemplo);De 11 a 20;Até R$ 1.448;Me sinto um pouco desconfortável;Vendas presenciais;Feminino;39;Sul;D
94;Justo;Justo;Adicionar contatos;10 (Instalaria com certeza);"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se costuma comprar parcelado ou à vista? ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 724;Me sinto extremamente confortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;49;Sudeste;C
95;Justo;Justo;Adicionar contatos;7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";De 41 a 50;Até R$ 3.620;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador ; Fazer entregas com o seu veículo";Feminino;34;Nordeste;C
96;Baixo;Justo;Adicionar contatos;5;Se possui smartphone? ;Menos de 5;Até R$ 2.172;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;41;Sudeste;C
97;Baixo;Justo;Responder perguntas sobre os meus contatos;6;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc)";De 11 a 20;Até R$ 1.448;Não sei se sinto confortável ou desconfortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;26;Sudeste;C
98;Justo;Baixo;Adicionar contatos;5;Se possui smartphone? ;De 41 a 50;Não possuo;Me sinto extremamente desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Masculino;30;Nordeste;C
99;Baixo;Justo;Compartilhar link de oferta;6;Eu não responderia à nenhuma destas questões;De 5 a 11;Até R$ 2.172;Me sinto extremamente confortável;Vendas via rede social (compartilhando links de ofertas);Masculino;18;Nordeste;E
100;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;8;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 2.172;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;27;Sudeste;C
101;Justo;Justo;Vender presencialmente;4;"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";De 11 a 20;Até R$ 3.620;Me sinto extremamente confortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;35;Sul;B
102;Baixo;Baixo;Adicionar contatos;8;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se tem plano de saúde ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 5 a 11;Até R$ 1.448;Me sinto um pouco desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;38;Nordeste;B
103;Justo;Justo;Compartilhar link de oferta;5;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se costuma comprar parcelado ou à vista? ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Se faz academia ou pratica esportes de modo geral";Mais de 50;Até R$ 2.172;Não sei se sinto confortável ou desconfortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;49;Centro-Oeste;C
104;Justo;Justo;Vender presencialmente;9;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Não possuo;Me sinto extremamente desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;28;Sudeste;C
105;Justo;Baixo;Responder perguntas sobre os meus contatos;6;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre a profissão que exerce ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 3.620;Não sei se sinto confortável ou desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;37;Sul;C
106;Justo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);8;"Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui smartphone?  ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";Menos de 5;Não possuo;Me sinto um pouco confortável;Vendas via rede social (compartilhando links de ofertas);Masculino;17;Nordeste;E
107;Justo;Baixo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);Aniversário e outras datas festivas (Casamento por exemplo);De 21 a 30;Até R$ 724;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;24;Sudeste;E
108;Alto;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 1.448;Me sinto extremamente desconfortável;Fazer entregas com o seu veículo;Masculino;39;Sudeste;E
